user_id,username,phone,is_active,phone_credit,is_admin,user_demographics_id
1,roberthiggins,(380)809-5875x14526,TRUE,383.49,TRUE,8
2,lisareyes,001-526-407-9376,FALSE,323.81,TRUE,3
3,smithfrank,4849087651,FALSE,937.14,TRUE,18
4,browncarl,+1-833-843-7254x031,FALSE,940.14,TRUE,2
5,nlarson,9638960235,FALSE,672.96,TRUE,1
6,kelly07,564.551.7581x37541,FALSE,499.15,TRUE,15
7,sharper,001-454-625-7799x933,FALSE,209.11,TRUE,4
8,douglas80,977.432.7951,FALSE,792.57,TRUE,2
9,sean67,564.432.8172x920,FALSE,365.14,TRUE,8
10,trevor88,995.238.4993x670,FALSE,205.25,TRUE,6
11,joseph26,+1-518-535-3834x4181,FALSE,206.29,TRUE,6
12,sylvia90,304.641.0518x213,FALSE,159.85,TRUE,12
13,jonathan29,(479)681-3921,FALSE,852.92,TRUE,2
14,lopezdanielle,933.899.2003x713,FALSE,363.3,TRUE,13
15,lisa52,(814)869-6655x2192,FALSE,673.94,TRUE,12
16,rjennings,9237484723,FALSE,575.75,TRUE,17
17,taylormichelle,-10219,FALSE,932.89,TRUE,4
18,lisa75,+1-708-496-8941x189,FALSE,725.84,TRUE,11
19,honeal,+1-673-454-3737x6050,FALSE,436.18,TRUE,6
20,dustin11,665.506.4274x065,FALSE,680.79,TRUE,15
21,marquezmichael,+1-656-876-1202x93798,FALSE,25.23,TRUE,12
22,larryhoffman,8338188360,FALSE,457.54,TRUE,2
23,victoriaball,(971)906-3100,FALSE,599.05,TRUE,2
24,brittany98,(780)430-9940x18659,FALSE,331.93,TRUE,16
25,gmay,904.497.6956x5761,FALSE,945.25,TRUE,3
26,jameswilliams,218.623.5177x40140,FALSE,632.33,TRUE,6
27,monica02,740-644-3918x62177,FALSE,386.46,TRUE,19
28,robincombs,357-293-3081x2246,FALSE,215.43,TRUE,9
29,justin04,423.294.1352x770,FALSE,220.43,TRUE,12
30,daviddowns,393.330.9401,FALSE,535.84,TRUE,1
31,carlosbrady,6239377396,FALSE,268.15,TRUE,12
32,cindyrichmond,001-386-362-2402x74081,FALSE,733.74,TRUE,7
33,shaun57,438-594-5061,FALSE,346.1,TRUE,2
34,bennettedward,-4707,FALSE,393.71,TRUE,20
35,zjohnson,001-910-916-6270x921,FALSE,386.39,TRUE,19
36,irobinson,418.743.0845x22373,FALSE,55.5,TRUE,9
37,chart,001-304-433-9654x76164,FALSE,550.94,TRUE,16
38,wclark,837-836-3667x4613,FALSE,35.26,TRUE,10
39,usullivan,757-342-4755,FALSE,447.79,TRUE,6
40,paula85,001-946-549-3022x327,FALSE,660.4,TRUE,1
41,michelle37,405-925-8101,FALSE,79,TRUE,14
42,perezlaurie,-7378,FALSE,424.41,TRUE,3
43,williamsoncrystal,506.933.9520x4472,FALSE,649.54,TRUE,4
44,williamwarner,228.379.3426x0168,FALSE,680.32,TRUE,2
45,smithpatricia,723.947.0593x9231,FALSE,631.71,TRUE,2
46,jameschapman,880.400.2281,FALSE,505.49,TRUE,15
47,browningjane,494.998.4419,FALSE,191.03,TRUE,12
48,michellerangel,(451)864-9071,FALSE,168.09,TRUE,13
49,julie07,(467)953-9278,FALSE,276.05,TRUE,16
50,john98,249-932-5256x2719,FALSE,938.14,TRUE,7
51,kellymalone,674-939-8836x274,FALSE,283.6,TRUE,7
52,wendy65,001-891-899-1141x50732,FALSE,512.16,TRUE,13
53,alison86,(846)641-3103x1804,FALSE,8.8,TRUE,12
54,brandon96,001-305-269-9587x54466,FALSE,982.26,TRUE,10
55,david02,(571)337-3943,FALSE,23.2,TRUE,1
56,tmccarthy,601.615.2993,FALSE,242.82,TRUE,6
57,michelle59,936.421.1048,FALSE,853.22,TRUE,7
58,justin77,330.436.9042x6119,FALSE,992.55,TRUE,18
59,eric56,(533)582-8581,FALSE,581.41,TRUE,1
60,hillangela,+1-884-799-3668x636,FALSE,105.8,TRUE,19
61,jason33,931-912-5784x8993,FALSE,743.78,TRUE,8
62,zrogers,371-996-6628,TRUE,67.05,TRUE,17
63,destiny70,8623082649,TRUE,382.78,TRUE,17
64,nancywells,754-990-5950,TRUE,808.55,TRUE,3
65,fcruz,+1-633-504-3851x790,TRUE,651.35,TRUE,11
66,kimberly53,349-209-5440x371,TRUE,348.4,TRUE,13
67,virginiagrant,001-432-827-9713,TRUE,233.98,TRUE,11
68,shellygriffin,863-689-3750x92488,TRUE,410.98,TRUE,8
69,stewartgeorge,711.221.8537x6068,TRUE,126.63,TRUE,15
70,agraham,001-529-718-4723x945,TRUE,883.82,TRUE,7
71,faulknerronald,9073782378,TRUE,0.16,TRUE,19
72,moorekathryn,001-411-580-5316x65063,TRUE,32.99,TRUE,20
73,ddunn,996-898-7627,TRUE,226.09,TRUE,2
74,jkelly,218-746-2409,TRUE,958.64,TRUE,20
75,edwin13,520.793.6030,TRUE,647.99,TRUE,10
76,gbradley,(579)915-4569x0598,TRUE,861.14,TRUE,18
77,kwalker,(578)555-5836,TRUE,372.14,TRUE,10
78,aguilarnancy,001-610-391-0978,TRUE,622.96,TRUE,3
79,dawn33,664.980.1579x979,TRUE,446.82,TRUE,1
80,amanda94,(483)338-8771x70029,TRUE,871.56,TRUE,4
81,anna52,+1-304-806-3733x8299,TRUE,162.15,TRUE,9
82,wallerdawn,+1-362-448-5401x4139,TRUE,906.75,TRUE,4
83,fberger,841.337.3250,TRUE,809.39,TRUE,5
84,mark90,(498)932-1105,TRUE,883.83,TRUE,15
85,schwartzjessica,592.649.6624x843,TRUE,611.36,TRUE,7
86,michael64,5234687590,TRUE,405.09,TRUE,4
87,shellyhanson,671-775-4942x65741,TRUE,39.91,TRUE,2
88,dlewis,233.716.8284,TRUE,567.28,TRUE,5
89,jackietaylor,(881)403-9892x975,TRUE,350.76,TRUE,6
90,leonardallen,7466163144,TRUE,198.25,TRUE,12
91,amy13,537.365.6989,TRUE,107.42,TRUE,4
92,jenniferelliott,001-789-516-8120,TRUE,786.42,TRUE,8
93,guzmanryan,001-821-798-2764x4740,TRUE,275.94,TRUE,1
94,jerry46,718-509-1606x5142,TRUE,625.19,TRUE,12
95,alexisperez,688.394.2132,TRUE,507.52,TRUE,5
96,xallen,501.949.9954,TRUE,421.35,TRUE,3
97,daniel64,546-834-6291,TRUE,439.75,TRUE,5
98,eholmes,8095779976,TRUE,531.19,TRUE,11
99,calvingarcia,001-724-620-2522,TRUE,974.41,TRUE,19
100,egentry,(828)200-8002x299,TRUE,76.26,TRUE,13
101,aaron93,001-342-596-0429x1200,TRUE,848.91,TRUE,8
102,veronicayoung,(848)287-5991x4591,TRUE,60.07,TRUE,14
103,mcdonaldmichelle,608-544-9443x5891,TRUE,370.48,TRUE,14
104,tjones,+1-337-651-9741x785,TRUE,828.28,TRUE,15
105,jonesmichelle,001-311-878-3622,TRUE,373.37,TRUE,7
106,ncraig,(358)837-8390x86193,TRUE,549.45,TRUE,12
107,emilysmith,(531)538-6151x62575,TRUE,421.33,TRUE,19
108,taylormichael,001-989-312-9608x95204,TRUE,450.49,TRUE,17
109,sdiaz,498-446-0992x195,TRUE,296.17,TRUE,15
110,chadpowers,+1-790-637-3125x23467,TRUE,377.28,TRUE,1
111,fconley,622-624-0903x19922,TRUE,698.71,TRUE,3
112,kimberlyfry,(550)385-8525x57067,TRUE,707,TRUE,20
113,campbelldennis,604-766-7105x5152,TRUE,413.38,TRUE,10
114,ethanbarnes,001-207-298-6795x57695,TRUE,305.6,TRUE,7
115,schmidtdaniel,287.496.2812,TRUE,883.15,TRUE,4
116,amy91,551-467-6055,TRUE,723.22,TRUE,14
117,jennifer27,001-993-893-5254x428,TRUE,314.17,TRUE,17
118,sarah18,(282)833-0593x12418,TRUE,50.01,TRUE,19
119,kimberly91,2988071914,TRUE,434.95,TRUE,6
120,swilliams,535.716.6821x45673,TRUE,528.55,TRUE,3
121,kristinareid,431.843.2113x68649,TRUE,294.32,TRUE,4
122,griffinrobert,569.691.1632,TRUE,554.11,TRUE,12
